      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      1.8619   6.6590E+02       0.00000000       0.00000000
      1.8669   6.6412E+02       0.00000000       0.00000000
      1.8719   6.6234E+02       0.00000000       0.00000000
      1.8769   6.6058E+02       0.00000000       0.00000000
      1.8819   6.5882E+02       0.00000000       0.00000000
      1.8869   6.5708E+02       0.00000000       0.00000000
      1.8919   6.5534E+02       0.00000001       0.00000001
      1.8969   6.5361E+02       0.00000001       0.00000001
      1.9019   6.5190E+02       0.00000004       0.00000004
      1.9069   6.5019E+02       0.00000008       0.00000008
      1.9119   6.4849E+02       0.00000019       0.00000019
      1.9169   6.4680E+02       0.00000041       0.00000041
      1.9219   6.4511E+02       0.00000087       0.00000087
      1.9269   6.4344E+02       0.00000174       0.00000174
      1.9319   6.4177E+02       0.00000336       0.00000336
      1.9369   6.4012E+02       0.00000623       0.00000623
      1.9419   6.3847E+02       0.00001109       0.00001110
      1.9469   6.3683E+02       0.00001898       0.00001900
      1.9519   6.3520E+02       0.00003121       0.00003125
      1.9569   6.3357E+02       0.00004932       0.00004937
      1.9619   6.3196E+02       0.00007487       0.00007495
      1.9669   6.3035E+02       0.00010921       0.00010931
      1.9719   6.2875E+02       0.00015306       0.00015319
      1.9769   6.2716E+02       0.00020610       0.00020626
      1.9819   6.2558E+02       0.00026668       0.00026683
      1.9869   6.2401E+02       0.00033159       0.00033166
      1.9919   6.2244E+02       0.00039625       0.00039607
      1.9969   6.2088E+02       0.00045521       0.00045444
      2.0019   6.1933E+02       0.00050297       0.00050099
      2.0069   6.1779E+02       0.00053499       0.00053065
      2.0119   6.1625E+02       0.00054870       0.00054004
      2.0169   6.1473E+02       0.00054428       0.00052812
      2.0219   6.1321E+02       0.00052502       0.00049639
      2.0269   6.1169E+02       0.00049713       0.00044887
      2.0319   6.1019E+02       0.00046910       0.00039179
      2.0369   6.0869E+02       0.00045071       0.00033380
      2.0419   6.0720E+02       0.00045174       0.00028715
      2.0469   6.0572E+02       0.00048078       0.00026837
      2.0519   6.0424E+02       0.00054403       0.00029079
      2.0569   6.0277E+02       0.00064454       0.00035221
      2.0619   6.0131E+02       0.00078170       0.00043986
      2.0669   5.9986E+02       0.00095124       0.00054125
      2.0719   5.9841E+02       0.00114575       0.00064615
      2.0769   5.9697E+02       0.00135556       0.00074571
      2.0819   5.9553E+02       0.00156995       0.00083257
      2.0869   5.9411E+02       0.00177832       0.00090176
      2.0919   5.9269E+02       0.00197118       0.00095176
      2.0969   5.9127E+02       0.00214068       0.00098487
      2.1019   5.8987E+02       0.00228074       0.00100640
      2.1069   5.8847E+02       0.00238687       0.00102245
      2.1119   5.8707E+02       0.00245610       0.00103699
      2.1169   5.8569E+02       0.00248714       0.00104971
      2.1219   5.8431E+02       0.00248096       0.00105606
      2.1269   5.8293E+02       0.00244165       0.00104953
      2.1319   5.8157E+02       0.00237719       0.00102485
      2.1369   5.8021E+02       0.00229971       0.00098072
      2.1419   5.7885E+02       0.00222480       0.00092166
      2.1469   5.7750E+02       0.00216995       0.00085856
      2.1519   5.7616E+02       0.00215226       0.00080755
      2.1569   5.7483E+02       0.00218601       0.00078557
      2.1619   5.7350E+02       0.00228075       0.00080262
      2.1669   5.7217E+02       0.00244037       0.00085630
      2.1719   5.7086E+02       0.00266347       0.00093530
      2.1769   5.6954E+02       0.00294478       0.00102760
      2.1819   5.6824E+02       0.00327715       0.00112585
      2.1869   5.6694E+02       0.00365345       0.00122835
      2.1919   5.6565E+02       0.00406763       0.00133742
      2.1969   5.6436E+02       0.00451473       0.00145663
      2.2019   5.6308E+02       0.00498965       0.00158778
      2.2069   5.6180E+02       0.00548529       0.00172900
      2.2119   5.6053E+02       0.00599071       0.00187437
      2.2169   5.5927E+02       0.00649015       0.00201492
      2.2219   5.5801E+02       0.00696370       0.00214017
      2.2269   5.5676E+02       0.00738985       0.00223975
      2.2319   5.5551E+02       0.00774975       0.00230498
      2.2369   5.5427E+02       0.00803245       0.00233042
      2.2419   5.5303E+02       0.00823997       0.00231539
      2.2469   5.5180E+02       0.00839080       0.00226516
      2.2519   5.5058E+02       0.00852081       0.00219198
      2.2569   5.4936E+02       0.00868061       0.00211574
      2.2619   5.4814E+02       0.00892936       0.00206383
      2.2669   5.4693E+02       0.00932564       0.00206790
      2.2719   5.4573E+02       0.00991683       0.00215485
      2.2769   5.4453E+02       0.01072891       0.00233439
      2.2819   5.4334E+02       0.01175905       0.00259335
      2.2869   5.4215E+02       0.01297261       0.00290131
      2.2919   5.4097E+02       0.01430588       0.00322125
      2.2969   5.3979E+02       0.01567426       0.00351827
      2.3019   5.3862E+02       0.01698465       0.00376510
      2.3069   5.3745E+02       0.01814956       0.00394515
      2.3119   5.3629E+02       0.01910032       0.00405323
      2.3169   5.3513E+02       0.01979692       0.00409413
      2.3219   5.3398E+02       0.02023277       0.00407922
      2.3269   5.3283E+02       0.02043399       0.00402236
      2.3319   5.3169E+02       0.02045387       0.00393671
      2.3369   5.3055E+02       0.02036377       0.00383352
      2.3419   5.2942E+02       0.02024244       0.00372292
      2.3469   5.2829E+02       0.02016532       0.00361544
      2.3519   5.2717E+02       0.02019554       0.00352230
      2.3569   5.2605E+02       0.02037769       0.00345391
      2.3619   5.2493E+02       0.02073523       0.00341811
      2.3669   5.2383E+02       0.02127158       0.00342186
      2.3719   5.2272E+02       0.02197479       0.00348001
      2.3769   5.2162E+02       0.02282474       0.00363119
      2.3819   5.2053E+02       0.02380140       0.00395164
      2.3869   5.1944E+02       0.02489253       0.00454515
      2.3919   5.1835E+02       0.02609865       0.00549795
      2.3969   5.1727E+02       0.02743397       0.00683151
      2.4019   5.1619E+02       0.02892249       0.00849047
      2.4069   5.1512E+02       0.03058947       0.01035524
      2.4119   5.1405E+02       0.03245024       0.01225940
      2.4169   5.1299E+02       0.03449878       0.01400968
      2.4219   5.1193E+02       0.03669943       0.01541179
      2.4269   5.1087E+02       0.03898427       0.01630040
      2.4319   5.0982E+02       0.04125783       0.01656773
      2.4369   5.0878E+02       0.04340850       0.01618382
      2.4419   5.0774E+02       0.04532454       0.01520334
      2.4469   5.0670E+02       0.04691104       0.01375732
      2.4519   5.0567E+02       0.04810431       0.01203220
      2.4569   5.0464E+02       0.04888068       0.01024163
      2.4619   5.0361E+02       0.04925861       0.00859568
      2.4669   5.0259E+02       0.04929460       0.00726770
      2.4719   5.0157E+02       0.04907467       0.00635508
      2.4769   5.0056E+02       0.04870367       0.00584600
      2.4819   4.9955E+02       0.04829406       0.00563397
      2.4869   4.9855E+02       0.04795533       0.00558748
      2.4919   4.9755E+02       0.04778408       0.00561200
      2.4969   4.9655E+02       0.04785471       0.00566504
      2.5019   4.9556E+02       0.04821102       0.00574170
      2.5069   4.9457E+02       0.04885965       0.00585382
      2.5119   4.9359E+02       0.04976697       0.00601182
      2.5169   4.9261E+02       0.05086125       0.00621295
      2.5219   4.9163E+02       0.05204101       0.00643803
      2.5269   4.9066E+02       0.05318909       0.00665629
      2.5319   4.8969E+02       0.05419023       0.00683466
      2.5369   4.8872E+02       0.05494844       0.00694714
      2.5419   4.8776E+02       0.05540027       0.00698140
