      DE/eV    lambda/nm    diff_rate        +/-error
      1.2097   1.0249E+03   3.61694587E-19   3.59690142E-19
      1.2147   1.0207E+03   1.17858058E-18   1.17057190E-18
      1.2197   1.0165E+03   3.69071476E-18   3.66013211E-18
      1.2247   1.0124E+03   1.11074864E-17   1.09957514E-17
      1.2297   1.0082E+03   3.21291462E-17   3.17382588E-17
      1.2347   1.0042E+03   8.93283075E-17   8.80181198E-17
      1.2397   1.0001E+03   2.38736743E-16   2.34527079E-16
      1.2447   9.9610E+02   6.13379924E-16   6.00409291E-16
      1.2497   9.9211E+02   1.51519010E-15   1.47685408E-15
      1.2547   9.8816E+02   3.59904733E-15   3.49033241E-15
      1.2597   9.8424E+02   8.22159849E-15   7.92573691E-15
      1.2647   9.8034E+02   1.80655006E-14   1.72927001E-14
      1.2697   9.7648E+02   3.81907831E-14   3.62531499E-14
      1.2747   9.7265E+02   7.76938489E-14   7.30301205E-14
      1.2797   9.6885E+02   1.52144326E-13   1.41367956E-13
      1.2847   9.6508E+02   2.86884044E-13   2.62978502E-13
      1.2897   9.6134E+02   5.21074764E-13   4.70163799E-13
      1.2947   9.5763E+02   9.12055628E-13   8.07967290E-13
      1.2997   9.5394E+02   1.53914682E-12   1.33485296E-12
      1.3047   9.5029E+02   2.50560770E-12   2.12070528E-12
      1.3097   9.4666E+02   3.93718829E-12   3.24109694E-12
      1.3147   9.4306E+02   5.97579755E-12   4.76747106E-12
      1.3197   9.3949E+02   8.76741289E-12   6.75415100E-12
      1.3247   9.3594E+02   1.24445121E-11   9.22464493E-12
      1.3297   9.3242E+02   1.71048788E-11   1.21609344E-11
      1.3347   9.2893E+02   2.27902716E-11   1.54995106E-11
      1.3397   9.2546E+02   2.94696861E-11   1.91362352E-11
      1.3447   9.2202E+02   3.70322840E-11   2.29388064E-11
      1.3497   9.1861E+02   4.52941591E-11   2.67620672E-11
      1.3547   9.1522E+02   5.40208326E-11   3.04600212E-11
      1.3597   9.1185E+02   6.29639373E-11   3.38913290E-11
      1.3647   9.0851E+02   7.19065408E-11   3.69218150E-11
      1.3697   9.0519E+02   8.07079256E-11   3.94337537E-11
      1.3747   9.0190E+02   8.93365867E-11   4.13514059E-11
      1.3797   8.9863E+02   9.78808578E-11   4.26826943E-11
      1.3847   8.9539E+02   1.06530565E-10   4.35612921E-11
      1.3897   8.9217E+02   1.15530038E-10   4.42589713E-11
      1.3947   8.8897E+02   1.25111054E-10   4.51351814E-11
      1.3997   8.8579E+02   1.35421249E-10   4.65157984E-11
      1.4047   8.8264E+02   1.46466546E-10   4.85515341E-11
      1.4097   8.7951E+02   1.58083472E-10   5.11495934E-11
      1.4147   8.7640E+02   1.69949299E-10   5.40270932E-11
      1.4197   8.7331E+02   1.81626953E-10   5.68386053E-11
      1.4247   8.7025E+02   1.92631593E-10   5.92958166E-11
      1.4297   8.6720E+02   2.02500012E-10   6.12352478E-11
      1.4347   8.6418E+02   2.10844947E-10   6.26318103E-11
      1.4397   8.6118E+02   2.17383295E-10   6.35714470E-11
      1.4447   8.5820E+02   2.21937612E-10   6.41966857E-11
      1.4497   8.5524E+02   2.24420002E-10   6.46393103E-11
      1.4547   8.5230E+02   2.24812962E-10   6.49590494E-11
      1.4597   8.4938E+02   2.23161050E-10   6.51109148E-11
      1.4647   8.4648E+02   2.19580822E-10   6.49574888E-11
      1.4697   8.4360E+02   2.14287093E-10   6.43244977E-11
      1.4747   8.4074E+02   2.07624899E-10   6.30792568E-11
      1.4797   8.3790E+02   2.00091892E-10   6.12041328E-11
      1.4847   8.3508E+02   1.92337025E-10   5.88425434E-11
      1.4897   8.3228E+02   1.85127719E-10   5.63059905E-11
      1.4947   8.2949E+02   1.79287143E-10   5.40390904E-11
      1.4997   8.2673E+02   1.75612578E-10   5.25415615E-11
      1.5047   8.2398E+02   1.74792486E-10   5.22483139E-11
