
          ============================================================  
                                     NEWTON-X                           
                   Newtonian dynamics close to the crossing seam        
          ============================================================  

                                  www.newtonx.org                       

    Newton-X version 1.4.0 (build 2, 15/August/2013)
    www.newtonx.org
    Contact: barbatti@kofo.mpg.de
-----------------------------------------------------------------------
The Newton-X program is distributed free of charge for non-commercial 
and non-profit uses. You may use the program freely and
adapt the code to your needs. Please, if you have any enhancements. 
share them with us. You are, however, not allowed to re-distribute code 
or binaries in parts or total. Anyone intending to use Newton-X must 
contact us. This program is shipped to the user "as is". There is no 
guarantee that it will work as described. Usage is at your own risk, 
there is no liability taken for any damage or loss of data and/or money.
If you experience problems please tell the developers supplying the
version-number - they are always grateful for any hint, but bear in
mind that there is no kind of official support for Newton-X.

Cite Newton-X as:
M. Barbatti, G. Granucci, M. Ruckenbauer, F. Plasser, J. Pittner, 
M. Persico, H. Lischka, NEWTON-X: a package for Newtonian dynamics 
close to the crossing seam, version 1.4, www.newtonx.org (2013).

M. Barbatti, G. Granucci, M. Persico, M. Ruckenbauer, M. Vazdar, M.
Eckert-Maksic, and H. Lischka, J. Photochem. Photobio. A 190, 228 (2007).
-----------------------------------------------------------------------

Starting Initial Condition selection 
 

makedir.pl:
       title     = title
       type      = 1
       subfile   = pmold
       batchdef  = #PBS -N
       seed      = 1234
       nis       = 1
       nfs       = 2
       delta     = 0.05
       eps       = 0.005
       kappa     = 3
       os_condon = -1
       prob_kind = F 
       screen    = 0 
       norm      = local 
       e_center  = 0 
       e_var     = 0.5 
       nref      = 1 
       temp      = 0
       l_shape   = gauss
       prtlv     = 1 



 The following transitions will be considered:
 Initial state = 1   =>   Final state = 2


====== Checking obligatory files and directories =====

Number of points for state 2 = 500
File final_output.1.2 exists.
This file will be used to generate spectrum. 


======             Ending checking               =====

Energy transitions will not be restricted.

makedir.pl: 
The largest transition intensity in final_output has
oscillator strength 3.4584 and vertical excitation energy (eV) 2.6578.
Normalization factor for probabilities F = 3.4584.

ini.state  fin.state   DE    Osc.St. Intensity  Energ.Window  Prob      Rand.N.  Status
   1          2       2.373   3.311   3.31140      YES        0.95749   1.00000  accept 
   1          2       3.053   3.101   3.10100      YES        0.89666   1.00000  accept 
   1          2       2.924   3.092   3.09250      YES        0.89420   1.00000  accept 
   1          2       3.168   2.810   2.81030      YES        0.81260   1.00000  accept 
   1          2       2.497   3.083   3.08310      YES        0.89148   1.00000  accept 
   1          2       2.705   2.924   2.92370      YES        0.84539   1.00000  accept 
   1          2       2.569   3.079   3.07860      YES        0.89018   1.00000  accept 
   1          2       2.491   3.163   3.16260      YES        0.91447   1.00000  accept 
   1          2       2.806   3.175   3.17470      YES        0.91797   1.00000  accept 
   1          2       2.885   3.224   3.22440      YES        0.93234   1.00000  accept 
   1          2       2.973   3.030   3.03050      YES        0.87627   1.00000  accept 
   1          2       3.162   2.878   2.87780      YES        0.83212   1.00000  accept 
   1          2       2.813   3.288   3.28840      YES        0.95084   1.00000  accept 
   1          2       2.787   3.317   3.31750      YES        0.95926   1.00000  accept 
   1          2       2.691   2.870   2.87040      YES        0.82998   1.00000  accept 
   1          2       2.848   3.045   3.04500      YES        0.88046   1.00000  accept 
   1          2       2.700   3.060   3.05970      YES        0.88472   1.00000  accept 
   1          2       2.581   2.941   2.94120      YES        0.85045   1.00000  accept 
   1          2       2.665   3.256   3.25610      YES        0.94150   1.00000  accept 
   1          2       2.981   3.356   3.35550      YES        0.97025   1.00000  accept 
   1          2       2.672   2.856   2.85590      YES        0.82579   1.00000  accept 
   1          2       2.845   3.066   3.06590      YES        0.88651   1.00000  accept 
   1          2       3.787   3.445   3.44480      YES        0.99607   1.00000  accept 
   1          2       2.854   3.211   3.21090      YES        0.92844   1.00000  accept 
   1          2       2.764   3.084   3.08360      YES        0.89163   1.00000  accept 
   1          2       2.796   3.116   3.11630      YES        0.90108   1.00000  accept 
   1          2       2.798   2.924   2.92370      YES        0.84539   1.00000  accept 
   1          2       2.891   2.908   2.90820      YES        0.84091   1.00000  accept 
   1          2       2.800   2.909   2.90860      YES        0.84102   1.00000  accept 
   1          2       2.820   2.875   2.87550      YES        0.83145   1.00000  accept 
   1          2       2.797   3.039   3.03930      YES        0.87882   1.00000  accept 
   1          2       2.506   3.106   3.10590      YES        0.89807   1.00000  accept 
   1          2       3.385   3.283   3.28260      YES        0.94917   1.00000  accept 
