DE/eV lambda/nm diff_rate +/-error
1.3212 9.3842E+02 1.18153071E-16 9.49375165E-17
1.3262 9.3488E+02 3.90037698E-16 3.09730345E-16
1.3312 9.3137E+02 1.23801568E-15 9.71182646E-16
1.3362 9.2789E+02 3.77847353E-15 2.92689855E-15
1.3412 9.2443E+02 1.10889378E-14 8.47860659E-15
1.3462 9.2099E+02 3.12938784E-14 2.36088111E-14
1.3512 9.1759E+02 8.49253047E-14 6.31948673E-14
1.3562 9.1420E+02 2.21633447E-13 1.62620549E-13
1.3612 9.1084E+02 5.56244676E-13 4.02332961E-13
1.3662 9.0751E+02 1.34258072E-12 9.57074833E-13
1.3712 9.0420E+02 3.11652166E-12 2.18923672E-12
1.3762 9.0092E+02 6.95770387E-12 4.81576705E-12
1.3812 8.9766E+02 1.49395750E-11 1.01884086E-11
1.3862 8.9442E+02 3.08529856E-11 2.07329087E-11
1.3912 8.9120E+02 6.12847958E-11 4.05858213E-11
1.3962 8.8801E+02 1.17088668E-10 7.64359739E-11
1.4012 8.8484E+02 2.15176085E-10 1.38509996E-10
1.4062 8.8170E+02 3.80366053E-10 2.41532398E-10
1.4112 8.7857E+02 6.46773149E-10 4.05351228E-10
1.4162 8.7547E+02 1.05794389E-09 6.54785487E-10
1.4212 8.7239E+02 1.66478648E-09 1.01818181E-09
1.4262 8.6933E+02 2.52043719E-09 1.52424283E-09
1.4312 8.6630E+02 3.67171633E-09 2.19697314E-09
1.4362 8.6328E+02 5.14780248E-09 3.04909363E-09
1.4412 8.6028E+02 6.94806191E-09 4.07492616E-09
1.4462 8.5731E+02 9.03224799E-09 5.24437011E-09
1.4512 8.5436E+02 1.13169864E-08 6.49993761E-09
1.4562 8.5142E+02 1.36820329E-08 7.75865931E-09
1.4612 8.4851E+02 1.59879254E-08 8.91992486E-09
1.4662 8.4562E+02 1.81035230E-08 9.87912099E-09
1.4712 8.4274E+02 1.99383048E-08 1.05456739E-08
1.4762 8.3989E+02 2.14713609E-08 1.08633495E-08
1.4812 8.3705E+02 2.27680236E-08 1.08308496E-08
1.4862 8.3424E+02 2.39768585E-08 1.05214850E-08
1.4912 8.3144E+02 2.53042601E-08 1.00990047E-08
1.4962 8.2866E+02 2.69701681E-08 9.81437921E-09
1.5012 8.2590E+02 2.91546821E-08 9.94362337E-09
1.5062 8.2316E+02 3.19495807E-08 1.06482430E-08
1.5112 8.2044E+02 3.53293188E-08 1.18698856E-08
1.5162 8.1773E+02 3.91523538E-08 1.33821083E-08
1.5212 8.1504E+02 4.31962840E-08 1.49151546E-08
1.5262 8.1237E+02 4.72211348E-08 1.62369031E-08
1.5312 8.0972E+02 5.10467666E-08 1.71870088E-08
