      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      1.6442   7.5407E+02       0.00000000       0.00000000
      1.6492   7.5178E+02       0.00000001       0.00000001
      1.6542   7.4951E+02       0.00000002       0.00000002
      1.6592   7.4725E+02       0.00000007       0.00000006
      1.6642   7.4501E+02       0.00000019       0.00000017
      1.6692   7.4278E+02       0.00000053       0.00000046
      1.6742   7.4056E+02       0.00000143       0.00000122
      1.6792   7.3835E+02       0.00000369       0.00000312
      1.6842   7.3616E+02       0.00000920       0.00000766
      1.6892   7.3398E+02       0.00002205       0.00001810
      1.6942   7.3182E+02       0.00005086       0.00004111
      1.6992   7.2966E+02       0.00011291       0.00008976
      1.7042   7.2752E+02       0.00024129       0.00018840
      1.7092   7.2539E+02       0.00049652       0.00038022
      1.7142   7.2328E+02       0.00098402       0.00073789
      1.7192   7.2117E+02       0.00187873       0.00137727
      1.7242   7.1908E+02       0.00345664       0.00247281
      1.7292   7.1700E+02       0.00613102       0.00427170
      1.7342   7.1494E+02       0.01048776       0.00710156
      1.7392   7.1288E+02       0.01731051       0.01136525
      1.7442   7.1084E+02       0.02758371       0.01751586
      1.7492   7.0881E+02       0.04246024       0.02600755
      1.7542   7.0678E+02       0.06318432       0.03722330
      1.7592   7.0478E+02       0.09096745       0.05138845
      1.7642   7.0278E+02       0.12682733       0.06848772
      1.7692   7.0079E+02       0.17141234       0.08820881
      1.7742   6.9882E+02       0.22484458       0.10993570
      1.7792   6.9685E+02       0.28661781       0.13280537
      1.7842   6.9490E+02       0.35558044       0.15582424
      1.7892   6.9296E+02       0.43001831       0.17801976
      1.7942   6.9103E+02       0.50783084       0.19858600
      1.7992   6.8911E+02       0.58677303       0.21698013
      1.8042   6.8720E+02       0.66472039       0.23294577
      1.8092   6.8530E+02       0.73990960       0.24647389
      1.8142   6.8341E+02       0.81111398       0.25774169
      1.8192   6.8153E+02       0.87772969       0.26706968
      1.8242   6.7966E+02       0.93976817       0.27489951
      1.8292   6.7781E+02       0.99776885       0.28175190
      1.8342   6.7596E+02       1.05265598       0.28812545
      1.8392   6.7412E+02       1.10556306       0.29436210
      1.8442   6.7229E+02       1.15763987       0.30057925
      1.8492   6.7047E+02       1.20984720       0.30675900
      1.8542   6.6867E+02       1.26274271       0.31296436
      1.8592   6.6687E+02       1.31627290       0.31951417
      1.8642   6.6508E+02       1.36960993       0.32692459
      1.8692   6.6330E+02       1.42109539       0.33557031
      1.8742   6.6153E+02       1.46835923       0.34525330
      1.8792   6.5977E+02       1.50865740       0.35499498
      1.8842   6.5802E+02       1.53941443       0.36323724
      1.8892   6.5628E+02       1.55888291       0.36835600
      1.8942   6.5455E+02       1.56676907       0.36922435
      1.8992   6.5282E+02       1.56464980       0.36560459
      1.9042   6.5111E+02       1.55603946       0.35828327
      1.9092   6.4940E+02       1.54604863       0.34896276
      1.9142   6.4771E+02       1.54068810       0.33995037
      1.9192   6.4602E+02       1.54597328       0.33367304
      1.9242   6.4434E+02       1.56704415       0.33206791
      1.9292   6.4267E+02       1.60751419       0.33601439
