DE/eV lambda/nm sigma/A^2 +/-error/A^2
1.9270 6.4341E+02 0.00000000 0.00000000
1.9320 6.4174E+02 0.00000001 0.00000001
1.9370 6.4008E+02 0.00000002 0.00000002
1.9420 6.3844E+02 0.00000005 0.00000005
1.9470 6.3680E+02 0.00000015 0.00000015
1.9520 6.3516E+02 0.00000042 0.00000041
1.9570 6.3354E+02 0.00000113 0.00000108
1.9620 6.3193E+02 0.00000290 0.00000277
1.9670 6.3032E+02 0.00000716 0.00000680
1.9720 6.2872E+02 0.00001699 0.00001603
1.9770 6.2713E+02 0.00003878 0.00003632
1.9820 6.2555E+02 0.00008513 0.00007909
1.9870 6.2398E+02 0.00017976 0.00016551
1.9920 6.2241E+02 0.00036511 0.00033285
1.9970 6.2085E+02 0.00071348 0.00064335
2.0020 6.1930E+02 0.00134157 0.00119526
2.0070 6.1776E+02 0.00242765 0.00213473
2.0120 6.1622E+02 0.00422838 0.00366565
2.0170 6.1470E+02 0.00709020 0.00605292
2.0220 6.1318E+02 0.01144787 0.00961357
2.0270 6.1166E+02 0.01780191 0.01469035
2.0320 6.1016E+02 0.02666783 0.02160509
2.0370 6.0866E+02 0.03849491 0.03059406
2.0420 6.0717E+02 0.05356042 0.04173398
2.0470 6.0569E+02 0.07185588 0.05487367
2.0520 6.0421E+02 0.09299116 0.06958958
2.0570 6.0274E+02 0.11614734 0.08518150
2.0620 6.0128E+02 0.14010574 0.10071770
2.0670 5.9983E+02 0.16336648 0.11512803
2.0720 5.9838E+02 0.18434833 0.12733337
2.0770 5.9694E+02 0.20163672 0.13639404
2.0820 5.9551E+02 0.21422731 0.14165940
2.0870 5.9408E+02 0.22170592 0.14290348
2.0920 5.9266E+02 0.22431633 0.14043256
2.0970 5.9125E+02 0.22289439 0.13514144
2.1020 5.8984E+02 0.21868190 0.12846938
2.1070 5.8844E+02 0.21306658 0.12217009
2.1120 5.8705E+02 0.20731307 0.11782215
2.1170 5.8566E+02 0.20234900 0.11620461
2.1220 5.8428E+02 0.19865024 0.11698182
2.1270 5.8291E+02 0.19623845 0.11904163
2.1320 5.8154E+02 0.19477450 0.12120400
2.1370 5.8018E+02 0.19371219 0.12273806
2.1420 5.7882E+02 0.19247282 0.12344770
2.1470 5.7748E+02 0.19060862 0.12342559
2.1520 5.7613E+02 0.18793517 0.12271060
2.1570 5.7480E+02 0.18462114 0.12109380
2.1620 5.7347E+02 0.18122555 0.11820997
2.1670 5.7215E+02 0.17867059 0.11386542
2.1720 5.7083E+02 0.17813896 0.10843277
2.1770 5.6952E+02 0.18089390 0.10313434
2.1820 5.6821E+02 0.18803988 0.10000229
2.1870 5.6691E+02 0.20026540 0.10121009
2.1920 5.6562E+02 0.21762846 0.10783223
2.1970 5.6433E+02 0.23944815 0.11909980
2.2020 5.6305E+02 0.26434838 0.13294673
2.2070 5.6178E+02 0.29046270 0.14702231
2.2120 5.6051E+02 0.31576329 0.15930483
2.2170 5.5924E+02 0.33843647 0.16834489
2.2220 5.5798E+02 0.35720660 0.17339078
2.2270 5.5673E+02 0.37151991 0.17449148
2.2320 5.5548E+02 0.38153858 0.17254080
2.2370 5.5424E+02 0.38795364 0.16915621
2.2420 5.5301E+02 0.39168274 0.16626955
2.2470 5.5178E+02 0.39355621 0.16542041
