      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.0547   6.0342E+02       0.00000000       0.00000000
      2.0597   6.0195E+02       0.00000001       0.00000001
      2.0647   6.0049E+02       0.00000002       0.00000002
      2.0697   5.9904E+02       0.00000005       0.00000005
      2.0747   5.9760E+02       0.00000015       0.00000015
      2.0797   5.9616E+02       0.00000041       0.00000041
      2.0847   5.9473E+02       0.00000109       0.00000109
      2.0897   5.9331E+02       0.00000279       0.00000280
      2.0947   5.9189E+02       0.00000685       0.00000686
      2.0997   5.9049E+02       0.00001616       0.00001618
      2.1047   5.8908E+02       0.00003660       0.00003664
      2.1097   5.8769E+02       0.00007966       0.00007974
      2.1147   5.8630E+02       0.00016657       0.00016674
      2.1197   5.8491E+02       0.00033464       0.00033498
      2.1247   5.8354E+02       0.00064594       0.00064659
      2.1297   5.8217E+02       0.00119795       0.00119914
      2.1347   5.8080E+02       0.00213457       0.00213670
      2.1397   5.7945E+02       0.00365439       0.00365802
      2.1447   5.7810E+02       0.00601105       0.00601700
      2.1497   5.7675E+02       0.00949990       0.00950921
      2.1547   5.7541E+02       0.01442518       0.01443906
      2.1597   5.7408E+02       0.02104554       0.02106514
      2.1647   5.7275E+02       0.02950125       0.02952706
      2.1697   5.7143E+02       0.03973484       0.03976551
      2.1747   5.7012E+02       0.05142440       0.05145451
      2.1797   5.6881E+02       0.06395335       0.06396920
      2.1847   5.6751E+02       0.07643769       0.07640981
      2.1897   5.6622E+02       0.08782131       0.08769167
      2.1947   5.6493E+02       0.09703287       0.09669409
      2.1997   5.6364E+02       0.10317847       0.10244199
      2.2047   5.6236E+02       0.10573028       0.10428125
      2.2097   5.6109E+02       0.10466702       0.10200673
      2.2147   5.5982E+02       0.10053111       0.09591584
      2.2197   5.5856E+02       0.09438618       0.08678827
      2.2247   5.5731E+02       0.08768210       0.07583287
      2.2297   5.5606E+02       0.08205481       0.06468611
      2.2347   5.5481E+02       0.07909971       0.05553551
      2.2397   5.5357E+02       0.08015899       0.05109665
      2.2447   5.5234E+02       0.08615653       0.05341528
      2.2497   5.5111E+02       0.09750367       0.06203761
      2.2547   5.4989E+02       0.11408818       0.07472308
      2.2597   5.4868E+02       0.13534758       0.08928815
      2.2647   5.4746E+02       0.16041645       0.10410012
      2.2697   5.4626E+02       0.18832342       0.11794273
      2.2747   5.4506E+02       0.21819909       0.12994754
      2.2797   5.4386E+02       0.24944510       0.13965378
      2.2847   5.4267E+02       0.28181451       0.14712259
      2.2897   5.4149E+02       0.31536897       0.15302453
      2.2947   5.4031E+02       0.35031083       0.15859687
      2.2997   5.3913E+02       0.38673016       0.16534456
      2.3047   5.3796E+02       0.42434468       0.17445165
      2.3097   5.3680E+02       0.46232753       0.18614397
      2.3147   5.3564E+02       0.49930293       0.19943737
